0,1,2,3,4,5,6,7,8,9
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
194,180,172,158,160,178,174,165,186,184
